# Karancho
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1275071032;1346086945;4;4;2;95180
1275071032;1346086945;5;1;1;255
1275071232;1346086945;1;1;1;1
1275071232;1346086945;2;1;1;3932
1275071232;1346086945;3;1;1;1138
1275071232;1346086945;4;4;2;95179
1275071232;1346086945;5;1;1;255
1275071449;1346086945;1;1;1;1
1275071451;1346086945;2;1;1;3932
1275071451;1346086945;3;1;1;1138
1275071451;1346086945;4;4;2;95179
1275071451;1346086945;5;1;1;255
1275071630;1346086945;1;1;1;1
1275071630;1346086945;2;1;1;3932
1275071630;1346086945;3;1;1;1138
1275071630;1346086945;4;4;2;95179
1275071630;1346086945;5;1;1;255
1275072063;1346086945;1;1;1;0
1275072063;1346086945;2;1;1;3931
1275072063;1346086945;3;1;1;1137
1275072063;1346086945;4;4;2;95180
1275072063;1346086945;5;1;1;255
1275072432;1346086945;1;1;1;4294967295
1275072432;1346086945;2;1;1;3926
1275072433;1346086945;3;1;1;1132
1275072433;1346086945;4;4;2;95186
1275072433;1346086945;5;1;1;255
1275072644;1346086945;1;1;1;4294967295
1275072645;1346086945;2;1;1;3923
1275072645;1346086945;3;1;1;1129
1275072645;1346086945;4;4;2;95190
1275072645;1346086945;5;1;1;255
1275072830;1346086945;1;1;1;4294967295
1275072830;1346086945;2;1;1;3918
1275072830;1346086945;3;1;1;1124
1275072830;1346086945;4;4;2;95195
1275072830;1346086945;5;1;1;255
1275073032;1346086945;1;1;1;4294967283
1275073032;1346086945;2;1;1;3915
1275073033;1346086945;3;1;1;1121
1275073033;1346086945;4;4;2;95199
1275073033;1346086945;5;1;1;255
1275073289;1346086945;1;1;1;4294967283
1275073289;1346086945;2;1;1;3910
1275073289;1346086945;3;1;1;1116
1275073289;1346086945;4;4;2;95204
1275073289;1346086945;5;1;1;255
1275073432;1346086945;1;1;1;4294967292
1275073432;1346086945;2;1;1;3906
1275073432;1346086945;3;1;1;1112
1275073432;1346086945;4;4;2;95209
1275073432;1346086945;5;1;1;255
1275073642;1346086945;1;1;1;4294967292
1275073642;1346086945;2;1;1;3901
1275073659;1346086945;3;1;1;1107
1275073659;1346086945;4;4;2;95215
1275073660;1346086945;5;1;1;255
1275073845;1346086945;1;1;1;4294967292
1275073845;1346086945;2;1;1;3895
1275073845;1346086945;3;1;1;1101
1275073845;1346086945;4;4;2;95221
1275073845;1346086945;5;1;1;255
1275074632;1346086945;1;1;1;4294967294
1275074632;1346086945;2;1;1;3880
1275074632;1346086945;3;1;1;1086
1275074632;1346086945;4;4;2;95238
1275074632;1346086945;5;1;1;255
1275075044;1346086945;1;1;1;4294967294
1275075044;1346086945;2;1;1;3872
1275075047;1346086945;3;1;1;1078
1275075047;1346086945;4;4;2;95247
1275075047;1346086945;5;1;1;255
1275075230;1346086945;1;1;1;4294967282
1275075230;1346086945;2;1;1;3869
